context,timestamp,duration,energy,grid/carbon-intensity,requests
server-1,2024-03-26 00:00,3600,1,800,20
server-1,2024-03-26 01:00,3600,1,800,18
server-1,2024-03-26 02:00,3600,1,800,5
server-1,2024-03-26 03:00,3600,1,800,4
server-1,2024-03-26 04:00,3600,1,800,2
server-1,2024-03-26 05:00,3600,1,800,30
server-1,2024-03-26 06:00,3600,2,800,40
server-1,2024-03-26 07:00,3600,2,1000,50
server-1,2024-03-26 08:00,3600,20,1000,90
server-1,2024-03-26 09:00,3600,4,1000,150
server-1,2024-03-26 10:00,3600,50,1000,267
server-1,2024-03-26 11:00,3600,100,1000,678
server-1,2024-03-26 12:00,3600,2,1000,40
server-1,2024-03-26 13:00,3600,100,1000,789
server-1,2024-03-26 14:00,3600,50,1200,342
server-1,2024-03-26 15:00,3600,100,1200,543
server-1,2024-03-26 16:00,3600,120,1200,675
server-1,2024-03-26 17:00,3600,40,1200,123
server-1,2024-03-26 18:00,3600,50,1200,345
server-1,2024-03-26 19:00,3600,3,1200,79
server-1,2024-03-26 20:00,3600,2,1000,49
server-1,2024-03-26 21:00,3600,1,1000,23
server-1,2024-03-26 22:00,3600,2,800,43
server-1,2024-03-26 23:00,3600,1,800,10
server-2,2024-03-26 00:00,3600,20,800,100
server-2,2024-03-26 01:00,3600,40,800,230
server-2,2024-03-26 02:00,3600,50,800,340
server-2,2024-03-26 03:00,3600,50,800,321
server-2,2024-03-26 04:00,3600,20,800,123
server-2,2024-03-26 05:00,3600,25,800,153
server-2,2024-03-26 06:00,3600,20,800,99
server-2,2024-03-26 07:00,3600,10,1000,55
server-2,2024-03-26 08:00,3600,15,1000,60
server-2,2024-03-26 09:00,3600,20,1000,99
server-2,2024-03-26 10:00,3600,20,1000,134
server-2,2024-03-26 11:00,3600,25,1000,154
server-2,2024-03-26 12:00,3600,50,1000,325
server-2,2024-03-26 13:00,3600,80,1000,456
server-2,2024-03-26 14:00,3600,80,1200,435
server-2,2024-03-26 15:00,3600,80,1200,478
server-2,2024-03-26 16:00,3600,50,1200,312
server-2,2024-03-26 17:00,3600,50,1200,354
server-2,2024-03-26 18:00,3600,90,1200,466
server-2,2024-03-26 19:00,3600,50,1200,309
server-2,2024-03-26 20:00,3600,50,1000,299
server-2,2024-03-26 21:00,3600,50,1000,267
server-2,2024-03-26 22:00,3600,30,800,189
server-2,2024-03-26 23:00,3600,20,800,123
server-3,2024-03-26 00:00,3600,1,200,25
server-3,2024-03-26 01:00,3600,1,400,20
server-3,2024-03-26 02:00,3600,1,400,3
server-3,2024-03-26 03:00,3600,1,400,2
server-3,2024-03-26 04:00,3600,1,400,1
server-3,2024-03-26 05:00,3600,1,500,55
server-3,2024-03-26 06:00,3600,2,500,43
server-3,2024-03-26 07:00,3600,2,500,49
server-3,2024-03-26 08:00,3600,1,500,88
server-3,2024-03-26 09:00,3600,2,500,166
server-3,2024-03-26 10:00,3600,25,500,289
server-3,2024-03-26 11:00,3600,70,500,789
server-3,2024-03-26 12:00,3600,70,600,823
server-3,2024-03-26 13:00,3600,50,600,650
server-3,2024-03-26 14:00,3600,20,600,322
server-3,2024-03-26 15:00,3600,50,600,432
server-3,2024-03-26 16:00,3600,80,600,623
server-3,2024-03-26 17:00,3600,20,600,100
server-3,2024-03-26 18:00,3600,25,600,333
server-3,2024-03-26 19:00,3600,1,600,60
server-3,2024-03-26 20:00,3600,1,500,32
server-3,2024-03-26 21:00,3600,1,500,20
server-3,2024-03-26 22:00,3600,2,400,33
server-3,2024-03-26 23:00,3600,1,200,2